rank,score,sharpe,profit_factor,win_rate,trades,total_return,max_drawdown,avg_hold,use_slope,use_trend_sep,use_vcp,use_breakout,use_orb,use_rsi_rise,use_rsi_delta,use_rsi_lvl,use_adx,use_52w_high,use_ma20
1,26.6965,3.515,7.595,0.6772,1301,4609.25,-7.18,3.26,0,1,0,0,1,0,1,1,1,1,0
2,26.6965,3.515,7.595,0.6772,1301,4609.25,-7.18,3.26,0,1,0,0,1,0,1,1,1,1,1
3,26.6965,3.515,7.595,0.6772,1301,4609.25,-7.18,3.26,0,1,0,0,1,1,1,1,1,1,0
4,26.6965,3.515,7.595,0.6772,1301,4609.25,-7.18,3.26,0,1,0,0,1,1,1,1,1,1,1
5,26.3169,3.461,7.6039,0.6778,1288,4528.78,-6.68,3.25,1,1,0,0,1,0,1,1,1,1,0
6,26.3169,3.461,7.6039,0.6778,1288,4528.78,-6.68,3.25,1,1,0,0,1,0,1,1,1,1,1
7,26.3169,3.461,7.6039,0.6778,1288,4528.78,-6.68,3.25,1,1,0,0,1,1,1,1,1,1,0
8,26.3169,3.461,7.6039,0.6778,1288,4528.78,-6.68,3.25,1,1,0,0,1,1,1,1,1,1,1
9,26.2685,3.581,7.3355,0.6715,1373,7270.94,-6.99,3.28,1,0,0,0,1,0,1,1,1,0,0
10,26.2685,3.581,7.3355,0.6715,1373,7270.94,-6.99,3.28,1,0,0,0,1,0,1,1,1,0,1
11,26.2685,3.581,7.3355,0.6715,1373,7270.94,-6.99,3.28,1,0,0,0,1,1,1,1,1,0,0
12,26.2685,3.581,7.3355,0.6715,1373,7270.94,-6.99,3.28,1,0,0,0,1,1,1,1,1,0,1
13,26.1249,3.8483,6.7887,0.6762,1427,9076.26,-8.09,3.43,1,1,0,0,1,0,1,0,0,0,1
14,26.1249,3.8483,6.7887,0.6762,1427,9076.26,-8.09,3.43,1,1,0,0,1,1,1,0,0,0,1
15,25.9613,3.8419,6.7574,0.6751,1428,9011.94,-8.07,3.42,1,1,0,0,1,0,0,0,0,0,1
16,25.9613,3.8419,6.7574,0.6751,1428,9011.94,-8.07,3.42,1,1,0,0,1,1,0,0,0,0,1
17,25.8863,3.4769,7.4451,0.6654,1309,5243.6,-7.14,3.31,1,1,0,0,1,0,1,1,1,0,0
18,25.8863,3.4769,7.4451,0.6654,1309,5243.6,-7.14,3.31,1,1,0,0,1,0,1,1,1,0,1
19,25.8863,3.4769,7.4451,0.6654,1309,5243.6,-7.14,3.31,1,1,0,0,1,1,1,1,1,0,0
20,25.8863,3.4769,7.4451,0.6654,1309,5243.6,-7.14,3.31,1,1,0,0,1,1,1,1,1,0,1
21,25.7667,3.3979,7.5832,0.6747,1331,4658.31,-13.09,3.2,1,1,0,0,1,0,1,0,1,1,0
22,25.7667,3.3979,7.5832,0.6747,1331,4658.31,-13.09,3.2,1,1,0,0,1,1,1,0,1,1,0
23,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,0,0,1,0,1,0
24,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,0,0,1,0,1,1
25,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,0,1,1,0,1,0
26,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,0,1,1,0,1,1
27,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,1,0,1,0,1,0
28,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,1,0,1,0,1,1
29,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,1,1,1,0,1,0
30,25.6995,3.7829,6.7936,0.7352,929,1590.69,-5.22,3.11,0,1,1,0,0,1,1,1,0,1,1
31,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,0,0,1,0,1,0
32,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,0,0,1,0,1,1
33,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,0,1,1,0,1,0
34,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,0,1,1,0,1,1
35,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,1,0,1,0,1,0
36,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,1,0,1,0,1,1
37,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,1,1,1,0,1,0
38,25.5675,3.7575,6.8043,0.7374,929,1568.97,-5.22,3.11,0,1,1,0,1,1,1,1,0,1,1
39,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,0,0,1,0,1,0
40,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,0,0,1,0,1,1
41,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,0,1,1,0,1,0
42,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,0,1,1,0,1,1
43,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,1,0,1,0,1,0
44,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,1,0,1,0,1,1
45,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,1,1,1,0,1,0
46,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,1,1,1,0,1,1
47,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,0,1,1,1,0,0
48,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,0,1,1,1,0,1
49,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,1,1,1,1,0,0
50,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,1,1,1,1,0,1
51,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,0,0,1,1,1,0
52,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,0,0,1,1,1,1
53,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,1,0,1,1,1,0
54,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,1,0,1,1,1,1
55,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,0,1,0,1,0
56,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,0,1,0,1,1
57,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,1,1,0,1,0
58,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,1,1,0,1,1
59,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,0,1,0,1,0
60,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,0,1,0,1,1
61,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,1,1,0,1,0
62,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,1,1,0,1,1
63,25.123,3.4661,7.2481,0.6631,1309,5085.79,-7.15,3.31,1,1,0,0,1,0,0,1,1,0,0
